Token,Count
believ,4
prick,4
blush,4
leg,4
wanton,4
empti,4
brain,4
oft,4
plagu,4
foul,4
press,4
cours,4
v,4
hall,4
worn,4
knave,4
touch,4
solemn,4
truth,4
town,4
respect,4
youll,4
pilgrim,4
lest,4
sake,4
crave,4
birth,4
garden,4
ran,4
appear,4
anger,4
rais,4
moon,4
green,4
bold,4
bird,4
utter,4
want,4
lent,4
dwell,4
wouldst,4
adieu,4
ghostli,4
smile,4
advanc,4
cheer,4
womb,4
lodg,4
remedi,4
met,4
slow,4
sure,4
cat,4
broad,4
gentlewoman,4
fault,4
someth,4
meat,4
minut,4
knife,4
warm,4
sour,4
bad,4
beshrew,4
amen,4
work,4
afford,4
beg,4
loss,4
slaughterd,4
damn,4
born,4
tide,4
banishd,4
search,4
doubt,4
nightli,4
methink,4
bridegroom,4
iron,4
sell,4
strew,4
nephew,3
order,3
offic,3
masker,3
alik,3
children,3
naught,3
patient,3
toil,3
public,3
carri,3
weak,3
slave,3
goe,3
piec,3
fish,3
drawn,3
club,3
throw,3
airi,3
cast,3
afternoon,3
approach,3
today,3
troubl,3
abroad,3
steal,3
bud,3
wert,3
view,3
proof,3
wrong,3
lost,3
urgd,3
woman,3
lovd,3
strong,3
bow,3
term,3
encount,3
sworn,3
ruld,3
teach,3
liberti,3
preciou,3
hard,3
odd,3
suit,3
number,3
heel,3
paper,3
backward,3
madman,3
prison,3
food,3
torment,3
cup,3
compar,3
lamb,3
forbid,3
susan,3
dug,3
twa,3
jule,3
stint,3
choos,3
stone,3
eer,3
wax,3
content,3
burden,3
visard,3
mous,3
delay,3
vain,3
dreamt,3
mab,3
nose,3
small,3
gallop,3
knee,3
fee,3
smell,3
substanc,3
inconst,3
closd,3
manner,3
save,3
sought,3
behind,3
c,3
grown,3
dove,3
rapier,3
virtuou,3
fit,3
chanc,3
contrari,3
trembl,3
greet,3
withdraw,3
passion,3
temper,3
climb,3
leap,3
pronounc,3
gossip,3
shot,3
king,3
hid,3
aris,3
knew,3
entreat,3
angel,3
wonder,3
gaze,3
belong,3
rose,3
hundr,3
washd,3
mayst,3
fond,3
lightn,3
ceas,3
exchang,3
purpos,3
rite,3
byandbi,3
wors,3
fail,3
almost,3
pluck,3
stumbl,3
lo,3
truli,3
jesu,3
deal,3
pure,3
devil,3
immort,3
bon,3
strain,3
courtesi,3
courteou,3
faint,3
whole,3
sharp,3
wide,3
fan,3
goodden,3
bawd,3
spent,3
dinner,3
occas,3
afor,3
told,3
offer,3
protest,3
devis,3
quit,3
sweetest,3
toad,3
rosemari,3
shed,3
swift,3
honey,3
ach,3
got,3
nest,3
violent,3
powder,3
loathsom,3
lain,3
apt,3
buy,3
minstrel,3
discord,3
knowst,3
calm,3
scratch,3
valour,3
furi,3
conduct,3
charg,3
deadli,3
tot,3
modesti,3
bare,3
fiend,3
mangl,3
murderd,3
beguild,3
hark,3
philosophi,3
wild,3
hollow,3
rous,3
stayd,3
wednesday,3
nightingal,3
descend,3
fickl,3
unaccustomd,3
needi,3
bark,3
bridal,3
prevent,3
hearst,3
shroud,3
awak,3
kindr,3
speed,3
hire,3
cook,3
tri,3
lick,3
cross,3
bell,3
log,3
dump,3
aloof,3
mattock,3
intent,3
apprehend,3
nobleman,2
franciscan,2
greater,2
prologu,2
household,2
mutini,2
pair,2
parent,2
strife,2
continu,2
miss,2
mend,2
choler,2
neck,2
collar,2
valiant,2
tyrant,2
maidenhead,2
abl,2
manag,2
partisan,2
blade,2
subject,2
profan,2
quench,2
issu,2
sentenc,2
cankerd,2
disturb,2
forfeit,2
farther,2
common,2
began,2
drew,2
fieri,2
breathd,2
glad,2
underneath,2
ware,2
wood,2
pursud,2
gladli,2
fled,2
fresh,2
ad,2
curtain,2
privat,2
pen,2
lock,2
neither,2
counsellor,2
spread,2
whenc,2
pleas,2
step,2
grievanc,2
struck,2
fast,2
favour,2
muffl,2
dine,2
heard,2
vaniti,2
misshapen,2
feather,2
smoke,2
health,2
shown,2
raisd,2
purgd,2
vexd,2
gall,2
supposd,2
shell,2
armd,2
sieg,2
ope,2
store,2
spare,2
merit,2
bliss,2
despair,2
examin,2
question,2
eyesight,2
debt,2
reckon,2
stranger,2
pride,2
younger,2
agre,2
choic,2
invit,2
lusti,2
tread,2
trudg,2
tailor,2
sent,2
infect,2
miseri,2
beauteou,2
niec,2
whither,2
often,2
burnt,2
fairer,2
rejoic,2
twelv,2
bade,2
knowest,2
lammasev,2
eleven,2
wormwood,2
dovehous,2
felt,2
shake,2
trow,2
broke,2
big,2
bitterli,2
prettiest,2
nursd,2
disposit,2
suckd,2
volum,2
cover,2
share,2
stori,2
bigger,2
wait,2
torchbear,2
scare,2
entranc,2
shoe,2
soar,2
dull,2
sink,2
tickl,2
rush,2
grandsir,2
dun,2
lamp,2
judgment,2
fairi,2
beam,2
whip,2
waggon,2
grub,2
courtier,2
courtsi,2
soldier,2
drum,2
start,2
fright,2
hors,2
misfortun,2
idl,2
thenc,2
revel,2
despis,2
direct,2
potpan,2
trencher,2
corn,2
—,2
tabl,2
sport,2
thirti,2
ago,2
knight,2
antic,2
storm,2
brag,2
wealth,2
presenc,2
illbeseem,2
endur,2
sauci,2
perforc,2
differ,2
smooth,2
devot,2
palm,2
palmer,2
grant,2
effect,2
talkd,2
account,2
foolish,2
weddingb,2
loath,2
rhyme,2
learnd,2
desir,2
matchd,2
held,2
stoln,2
orchard,2
venu,2
trim,2
scarlet,2
quiver,2
demesn,2
circl,2
medlar,2
vestal,2
liveri,2
discours,2
lean,2
messeng,2
bestrid,2
owe,2
henceforth,2
drunk,2
camst,2
stoni,2
limit,2
enmiti,2
prorogu,2
enquir,2
pilot,2
adventur,2
compliment,2
fals,2
perjuri,2
cun,2
discov,2
top,2
likewis,2
procur,2
hist,2
hoars,2
aloud,2
cave,2
oclock,2
forgot,2
silk,2
cherish,2
hap,2
basket,2
streak,2
weed,2
virtu,2
plant,2
herb,2
revolt,2
abus,2
vice,2
worser,2
limb,2
reign,2
drift,2
riddl,2
franci,2
salt,2
water,2
clear,2
stain,2
changd,2
dote,2
challeng,2
stab,2
white,2
courag,2
duellist,2
passado,2
afflict,2
flow,2
hild,2
gray,2
french,2
counterfeit,2
fairli,2
slip,2
pink,2
singl,2
remain,2
singular,2
swit,2
spur,2
wildgoos,2
stretch,2
meant,2
gear,2
mar,2
troth,2
month,2
jack,2
scurvi,2
paradis,2
sayst,2
r,2
herald,2
ten,2
shadow,2
lower,2
hill,2
motion,2
bandi,2
lookst,2
shamst,2
circumst,2
henceforward,2
triumph,2
everlast,2
confessor,2
conceit,2
beggar,2
sum,2
scape,2
moodi,2
spi,2
egg,2
waken,2
tie,2
tutor,2
field,2
worship,2
dearli,2
hereaft,2
drybeat,2
forbear,2
outrag,2
soundli,2
staind,2
slander,2
brave,2
gallant,2
aliv,2
determin,2
amazd,2
taken,2
obey,2
unlucki,2
bethink,2
nice,2
deaf,2
twixt,2
stout,2
newli,2
price,2
immedi,2
repent,2
wink,2
amor,2
lose,2
nightcom,2
raven,2
mansion,2
possessd,2
sold,2
tediou,2
festiv,2
robe,2
welladay,2
undon,2
dismal,2
ash,2
bier,2
gener,2
serpent,2
opposit,2
palac,2
throne,2
nativ,2
spring,2
drop,2
guilti,2
deed,2
wail,2
wash,2
acquaint,2
doomsday,2
terror,2
seest,2
unworthi,2
carrion,2
mightst,2
blubber,2
womanish,2
threatend,2
becom,2
array,2
sullen,2
heed,2
miser,2
decre,2
revivd,2
tune,2
monday,2
taen,2
bottom,2
evermor,2
couldst,2
vengeanc,2
dram,2
abhor,2
bore,2
sort,2
happili,2
blesd,2
wrought,2
baggag,2
disobedi,2
rate,2
stuffd,2
ont,2
week,2
dim,2
twain,2
danger,2
spake,2
leisur,2
mass,2
seald,2
roar,2
skull,2
newmad,2
vial,2
stiff,2
borrowd,2
prosper,2
tush,2
mouth,2
shriek,2
dash,2
spit,2
forgiv,2
unhappi,2
detest,2
confus,2
advancd,2
instrument,2
servingcreatur,2
fa,2
pestil,2
capel,2
post,2
defi,2
import,2
misadventur,2
hereabout,2
shop,2
drug,2
poverti,2
suspect,2
accid,2
yew,2
whistl,2
obsequi,2
warn,2
intend,2
condemn,2
seal,2
spade,2
sepulchr,2
bleed,2
suspicion,2
meantim,2
dire,2
potion,2
william,1
shakespear,1
repres,1
escalu,1
varianc,1
relat,1
guard,1
watchmen,1
fifth,1
chor,1
digniti,1
grudg,1
unclean,1
loin,1
starcrossd,1
misadventurd,1
overthrow,1
passag,1
deathmarkd,1
traffic,1
stage,1
strive,1
buckler,1
coal,1
collier,1
runnst,1
weakest,1
weaker,1
vessel,1
push,1
poorjohn,1
tool,1
nake,1
list,1
disgrac,1
swash,1
heartless,1
hind,1
coward,1
join,1
bill,1
gown,1
thisgiv,1
crutch,1
crutchwhi,1
sayold,1
flourish,1
rebelli,1
neighbourstain,1
hearwhat,1
pernici,1
purpl,1
fountain,1
mistemperd,1
bred,1
thrice,1
disturbd,1
beseem,1
wield,1
freetown,1
judgmentplac,1
abroach,1
adversari,1
instant,1
prepard,1
defianc,1
swung,1
hissd,1
interchang,1
romeosaw,1
worshippd,1
peerd,1
drave,1
grove,1
sycamor,1
westward,1
rooteth,1
stole,1
covert,1
theyr,1
pursu,1
shunnd,1
augment,1
allcheer,1
farthest,1
shadi,1
aurora,1
artifici,1
portent,1
importund,1
discoveri,1
bit,1
dedic,1
willingli,1
went,1
lengthen,1
tyrann,1
pathway,1
mewhat,1
creat,1
seriou,1
chao,1
wellseem,1
stillwak,1
transgress,1
propag,1
prest,1
add,1
fume,1
sparkl,1
nourishd,1
discreet,1
choke,1
preserv,1
sadli,1
aimd,1
markmanand,1
soonest,1
arrow,1
dian,1
chastiti,1
childish,1
unharmd,1
bide,1
th,1
assail,1
lap,1
saintseduc,1
chast,1
huge,1
starvd,1
poster,1
exquisit,1
strucken,1
treasur,1
passd,1
doctrin,1
penalti,1
livd,1
wither,1
ripe,1
marrd,1
swallow,1
scope,1
accord,1
accustomd,1
whereto,1
earthtread,1
apparelld,1
april,1
limp,1
winter,1
femal,1
inherit,1
shoemak,1
meddl,1
yard,1
fisher,1
pencil,1
painter,1
net,1
learnedin,1
lessend,1
anguish,1
giddi,1
holp,1
languish,1
rank,1
plantainleaf,1
broken,1
shin,1
kept,1
whippd,1
andgodden,1
gi,1
goden,1
perhap,1
languag,1
honestli,1
martino,1
anselmo,1
sister,1
widow,1
vitruvio,1
placentio,1
valentin,1
livia,1
valentio,1
lucio,1
helena,1
assembl,1
askd,1
crush,1
wine,1
sup,1
lovst,1
admir,1
unattaint,1
swan,1
devout,1
religion,1
maintain,1
falsehood,1
drownd,1
transpar,1
heret,1
liar,1
allse,1
begun,1
poisd,1
crystal,1
scale,1
weighd,1
shine,1
scant,1
splendour,1
maidenheaat,1
ladybird,1
girlwhat,1
rememberd,1
thou,1
teeth,1
teen,1
spoken,1
four,1
lammastid,1
fortnight,1
christian,1
mebut,1
earthquak,1
weandl,1
brainbut,1
nippl,1
tetchi,1
rood,1
waddl,1
holidam,1
madamyet,1
bump,1
cockerel,1
parlou,1
fallst,1
comst,1
babe,1
theme,1
of—,1
honourwer,1
teat,1
esteem,1
worldwhi,1
lineament,1
obscurd,1
margent,1
unbound,1
beautifi,1
lack,1
glori,1
clasp,1
possess,1
briefli,1
endart,1
pantri,1
everyth,1
six,1
speech,1
apolog,1
prolix,1
hoodwinkd,1
scarf,1
tartar,1
paint,1
lath,1
crowkeep,1
withoutbook,1
faintli,1
prompter,1
